,event,gender,year,meantime,meantime_demeanor,meantime_demeaned,event_name
1007,18578,M,2013,306.4820512820513,18303.89651838516,1.4171093089652762,Fort Lauderdale
1008,18578,M,2014,309.9320512820513,18303.89651838516,4.867109308965277,Fort Lauderdale
1009,18578,M,2015,306.1622549019608,18303.89651838516,1.0973129288747563,Fort Lauderdale
1010,18578,M,2016,305.6166666666667,18303.89651838516,0.5517246935806421,Fort Lauderdale
1011,18578,M,2018,310.67549019607844,18303.89651838516,5.610548222992414,Fort Lauderdale
1012,18578,M,2019,311.1427777777778,18303.89651838516,6.077835804691737,Fort Lauderdale
1013,18724,F,2013,302.74899425287356,18448.894827586206,-4.732586206896546,Sprouts Mesa
1014,18724,F,2019,312.21416666666664,18448.894827586206,4.732586206896546,Sprouts Mesa
1015,18724,M,2013,302.9713615023474,18286.48202154101,-1.803338856669446,Sprouts Mesa
1016,18724,M,2019,306.5780392156863,18286.48202154101,1.803338856669446,Sprouts Mesa
1017,18749,F,2000,318.0295977011494,18699.8258183704,6.365834061642757,Cowtown
1018,18749,F,2001,314.1,18699.8258183704,2.436236360493361,Cowtown
1019,18749,F,2002,304.814367816092,18699.8258183704,-6.84939582341467,Cowtown
1020,18749,F,2003,302.5712962962963,18699.8258183704,-9.09246734321035,Cowtown
1021,18749,F,2004,315.3559829059829,18699.8258183704,3.6922192664762408,Cowtown
1022,18749,F,2005,306.1333333333333,18699.8258183704,-5.530430306173305,Cowtown
1023,18749,F,2006,312.05104166666666,18699.8258183704,0.3872780271600277,Cowtown
1024,18749,F,2007,304.60042735042737,18699.8258183704,-7.063336289079294,Cowtown
1025,18749,F,2008,304.3769841269841,18699.8258183704,-7.286779512522541,Cowtown
1026,18749,F,2009,303.9446808510638,18699.8258183704,-7.719082788442817,Cowtown
1027,18749,F,2010,312.2037037037037,18699.8258183704,0.5399400641970715,Cowtown
1028,18749,F,2011,316.012074829932,18699.8258183704,4.348311190425314,Cowtown
1029,18749,F,2012,314.36777777777775,18699.8258183704,2.7040141382711225,Cowtown
1030,18749,F,2013,313.57374631268436,18699.8258183704,1.9099826731777285,Cowtown
1031,18749,F,2014,315.36021241830065,18699.8258183704,3.6964487787940015,Cowtown
1032,18749,F,2016,313.70416666666665,18699.8258183704,2.0404030271600275,Cowtown
1033,18749,F,2017,317.55645161290323,18699.8258183704,5.892687973396581,Cowtown
1034,18749,F,2018,321.52738095238095,18699.8258183704,9.86361731287434,Cowtown
1035,18749,F,2019,311.3282828282828,18699.8258183704,-0.3354808112238364,Cowtown
1036,18749,M,2000,303.97427536231885,18403.36097706036,-2.748407588687163,Cowtown
1037,18749,M,2001,305.4776422764227,18403.36097706036,-1.2450406745832878,Cowtown
1038,18749,M,2002,306.2496376811594,18403.36097706036,-0.47304526984662515,Cowtown
1039,18749,M,2003,298.1941176470588,18403.36097706036,-8.528565303947229,Cowtown
1040,18749,M,2004,301.3305555555555,18403.36097706036,-5.392127395450491,Cowtown
1041,18749,M,2005,303.06149425287356,18403.36097706036,-3.6611886981324764,Cowtown
1042,18749,M,2006,302.78703703703707,18403.36097706036,-3.9356459139689832,Cowtown
1043,18749,M,2007,309.32357723577235,18403.36097706036,2.6008942847663397,Cowtown
1044,18749,M,2008,307.54266666666666,18403.36097706036,0.8199837156606615,Cowtown
1045,18749,M,2009,298.69375,18403.36097706036,-8.028932951006027,Cowtown
1046,18749,M,2010,310.19290429042906,18403.36097706036,3.4702213394230057,Cowtown
1047,18749,M,2011,309.84166666666664,18403.36097706036,3.1189837156606397,Cowtown
1048,18749,M,2012,300.0943661971831,18403.36097706036,-6.628316753822946,Cowtown
1049,18749,M,2013,309.1150406504065,18403.36097706036,2.3923576994004785,Cowtown
1050,18749,M,2014,310.3927648578811,18403.36097706036,3.6700819068750814,Cowtown
1051,18749,M,2016,316.2730769230769,18403.36097706036,9.550393972070925,Cowtown
1052,18749,M,2017,311.38852813852816,18403.36097706036,4.665845187522124,Cowtown
1053,18749,M,2018,311.9415254237288,18403.36097706036,5.218842472722766,Cowtown
1054,18749,M,2019,311.85634920634925,18403.36097706036,5.133666255343209,Cowtown
1055,189005,F,2007,275.9,18035.47222222222,-24.69120370370365,Birch Bay
1056,189005,F,2008,292.73333333333335,18035.47222222222,-7.857870370370317,Birch Bay
1057,189005,F,2011,290.9888888888889,18035.47222222222,-9.60231481481478,Birch Bay
1058,189005,F,2012,312.6666666666667,18035.47222222222,12.075462962963018,Birch Bay
1059,189005,F,2013,311.6666666666667,18035.47222222222,11.075462962963018,Birch Bay
1060,189005,F,2014,312.6555555555555,18035.47222222222,12.064351851851885,Birch Bay
1061,189005,F,2015,306.6125,18035.47222222222,6.0212962962963505,Birch Bay
1062,189005,F,2016,307.9611111111111,18035.47222222222,7.3699074074074815,Birch Bay
1063,189005,F,2018,294.1361111111111,18035.47222222222,-6.455092592592519,Birch Bay
1064,189005,M,2011,297.63888888888886,17963.850000000002,-1.7586111111111677,Birch Bay
