,event,gender,year,meantime,meantime_demeanor,meantime_demeaned,event_name
3902,5179,M,2017,216.42324749642344,13397.380958484846,-6.866435144990646,Nj
3903,5179,M,2018,214.80833333333334,13397.380958484846,-8.481349308080764,Nj
3904,5179,M,2019,216.22458697764822,13397.380958484846,-7.065095663765897,Nj
3905,5201,F,2005,244.9280701754386,14520.315662659554,2.922809131112687,Lake Placid
3906,5201,F,2006,243.11739130434782,14520.315662659554,1.1121302600219376,Lake Placid
3907,5201,F,2007,242.49074074074076,14520.315662659554,0.48547969641485905,Lake Placid
3908,5201,F,2008,241.55882352941177,14520.315662659554,-0.4464375149141233,Lake Placid
3909,5201,F,2009,249.42749999999998,14520.315662659554,7.422238955674099,Lake Placid
3910,5201,F,2010,241.1690476190476,14520.315662659554,-0.8362134252782805,Lake Placid
3911,5201,F,2011,240.06300000000002,14520.315662659554,-1.9422610443258843,Lake Placid
3912,5201,F,2012,237.76206896551724,14520.315662659554,-4.243192078808655,Lake Placid
3913,5201,F,2013,240.94754901960783,14520.315662659554,-1.0577120247180574,Lake Placid
3914,5201,F,2014,232.57857142857145,14520.315662659554,-9.426689615754459,Lake Placid
3915,5201,F,2015,243.64126984126986,14520.315662659554,1.6360087969439518,Lake Placid
3916,5201,F,2016,242.8138888888889,14520.315662659554,0.8086278445630039,Lake Placid
3917,5201,F,2017,252.2357142857143,14520.315662659554,10.230453241388386,Lake Placid
3918,5201,F,2018,240.40877192982455,14520.315662659554,-1.5964891145013402,Lake Placid
3919,5201,F,2019,236.93650793650795,14520.315662659554,-5.068753107817944,Lake Placid
3920,5201,M,2005,229.97204301075269,13802.000115301542,-0.06129224427301475,Lake Placid
3921,5201,M,2006,222.87388888888887,13802.000115301542,-7.159446366136823,Lake Placid
3922,5201,M,2007,233.24065040650405,13802.000115301542,3.2073151514783604,Lake Placid
3923,5201,M,2008,232.88214285714284,13802.000115301542,2.8488076021171462,Lake Placid
3924,5201,M,2009,226.11976744186046,13802.000115301542,-3.913567813165234,Lake Placid
3925,5201,M,2010,230.3068783068783,13802.000115301542,0.2735430518525997,Lake Placid
3926,5201,M,2011,235.63307291666666,13802.000115301542,5.599737661640969,Lake Placid
3927,5201,M,2012,226.281884057971,13802.000115301542,-3.751451197054697,Lake Placid
3928,5201,M,2013,231.746875,13802.000115301542,1.713539744974302,Lake Placid
3929,5201,M,2014,227.26712962962964,13802.000115301542,-2.766205625396075,Lake Placid
3930,5201,M,2015,229.77731481481482,13802.000115301542,-0.2560204402108866,Lake Placid
3931,5201,M,2016,234.462,13802.000115301542,4.428664744974291,Lake Placid
3932,5201,M,2017,241.10595238095237,13802.000115301542,11.072617125926687,Lake Placid
3933,5201,M,2018,223.0063063063063,13802.000115301542,-7.027028948719392,Lake Placid
3934,5201,M,2019,225.82412280701755,13802.000115301542,-4.209212448008142,Lake Placid
3935,5343,F,1999,237.91458333333333,14368.635917086478,-1.5626819514413,Ocean Drive
3936,5343,F,2001,245.56176470588235,14368.635917086478,6.084499421107709,Ocean Drive
3937,5343,F,2002,239.2611111111111,14368.635917086478,-0.21615417366353237,Ocean Drive
3938,5343,F,2003,243.11931818181816,14368.635917086478,3.6420528970435346,Ocean Drive
3939,5343,F,2004,231.2296296296296,14368.635917086478,-8.247635655145011,Ocean Drive
3940,5343,F,2005,242.39444444444445,14368.635917086478,2.917179159669801,Ocean Drive
3941,5343,F,2006,238.88763440860214,14368.635917086478,-0.5896308761724868,Ocean Drive
3942,5343,F,2007,245.66439393939393,14368.635917086478,6.1871286546193005,Ocean Drive
3943,5343,F,2008,247.01979166666666,14368.635917086478,7.542526381892033,Ocean Drive
3944,5343,F,2010,239.22061403508772,14368.635917086478,-0.2566512496869109,Ocean Drive
3945,5343,F,2011,238.4509090909091,14368.635917086478,-1.0263561938655281,Ocean Drive
3946,5343,F,2012,240.78297872340426,14368.635917086478,1.3057134386296336,Ocean Drive
3947,5343,F,2013,238.04242424242423,14368.635917086478,-1.4348410423503992,Ocean Drive
3948,5343,F,2014,238.31623931623932,14368.635917086478,-1.1610259685353108,Ocean Drive
3949,5343,F,2015,243.6224358974359,14368.635917086478,4.145170612661271,Ocean Drive
3950,5343,F,2016,241.92254901960783,14368.635917086478,2.4452837348332044,Ocean Drive
3951,5343,F,2017,223.73636363636362,14368.635917086478,-15.740901648411,Ocean Drive
3952,5343,F,2018,235.44358974358974,14368.635917086478,-4.033675541184888,Ocean Drive
3953,5343,M,1999,226.53690476190476,13526.492885070873,1.0953566773902215,Ocean Drive
3954,5343,M,2001,230.44895833333334,13526.492885070873,5.007410248818784,Ocean Drive
3955,5343,M,2002,220.7927536231884,13526.492885070873,-4.6487944613261485,Ocean Drive
3956,5343,M,2003,232.57322404371587,13526.492885070873,7.131675959201312,Ocean Drive
3957,5343,M,2004,228.733,13526.492885070873,3.291451915485444,Ocean Drive
3958,5343,M,2005,227.5784946236559,13526.492885070873,2.1369465391413542,Ocean Drive
3959,5343,M,2006,224.57093023255814,13526.492885070873,-0.8706178519564067,Ocean Drive
3960,5343,M,2007,227.5637037037037,13526.492885070873,2.1221556191891673,Ocean Drive
3961,5343,M,2008,231.05982905982907,13526.492885070873,5.618280975314519,Ocean Drive
3962,5343,M,2010,226.3673245614035,13526.492885070873,0.9257764768889502,Ocean Drive
3963,5343,M,2011,224.19425287356322,13526.492885070873,-1.2472952109513245,Ocean Drive
3964,5343,M,2012,228.10123456790126,13526.492885070873,2.659686483386698,Ocean Drive
3965,5343,M,2013,219.45514705882354,13526.492885070873,-5.986401025691006,Ocean Drive
3966,5343,M,2014,220.5359477124183,13526.492885070873,-4.90560037209625,Ocean Drive
3967,5343,M,2015,227.52323232323232,13526.492885070873,2.0816842387177834,Ocean Drive
3968,5343,M,2016,232.26060606060608,13526.492885070873,6.819057976091517,Ocean Drive
3969,5343,M,2017,216.35526315789474,13526.492885070873,-9.086284926619799,Ocean Drive
3970,5343,M,2018,213.2970588235294,13526.492885070873,-12.14448926098515,Ocean Drive
3971,6382,F,1997,224.75833333333333,14346.422420634923,-14.348707010582045,New Hampshire
3972,6382,F,1998,230.54047619047617,14346.422420634923,-8.5665641534392,New Hampshire
3973,6382,F,2000,241.15833333333333,14346.422420634923,2.0512929894179552,New Hampshire
3974,6382,F,2001,237.59444444444443,14346.422420634923,-1.5125958994709436,New Hampshire
3975,6382,F,2002,257.53333333333336,14346.422420634923,18.426292989417956,New Hampshire
3976,6382,F,2003,238.34074074074076,14346.422420634923,-0.7662996031746236,New Hampshire
3977,6382,F,2004,231.11111111111111,14346.422420634923,-7.995929232804277,New Hampshire
3978,6382,F,2005,246.51666666666668,14346.422420634923,7.409626322751289,New Hampshire
3979,6382,F,2006,245.30208333333334,14346.422420634923,6.1950429894179555,New Hampshire
3980,6382,F,2007,244.4452380952381,14346.422420634923,5.338197751322726,New Hampshire
3981,6382,F,2008,231.31333333333333,14346.422420634923,-7.7937070105820565,New Hampshire
3982,6382,F,2009,241.96944444444443,14346.422420634923,2.8624041005290564,New Hampshire
3983,6382,F,2010,243.47,14346.422420634923,4.362959656084635,New Hampshire
3984,6382,F,2011,238.4128205128205,14346.422420634923,-0.6942198310948697,New Hampshire
3985,6382,F,2012,234.77051282051283,14346.422420634923,-4.336527523402553,New Hampshire
3986,6382,F,2013,240.71190476190478,14346.422420634923,1.6048644179893927,New Hampshire
3987,6382,F,2014,237.62833333333336,14346.422420634923,-1.4787070105820324,New Hampshire
3988,6382,F,2015,243.03958333333333,14346.422420634923,3.9325429894179553,New Hampshire
3989,6382,F,2016,237.84375,14346.422420634923,-1.263290343915378,New Hampshire
3990,6382,F,2017,238.8625,14346.422420634923,-0.24454034391537788,New Hampshire
3991,6382,F,2018,235.15416666666667,14346.422420634923,-3.952873677248711,New Hampshire
3992,6382,F,2019,239.87777777777777,14346.422420634923,0.7707374338623898,New Hampshire
3993,6382,M,1997,197.94285714285715,13037.421320822752,-19.34749820418871,New Hampshire
3994,6382,M,1998,214.3177777777778,13037.421320822752,-2.972577569268075,New Hampshire
3995,6382,M,2000,216.05,13037.421320822752,-1.240355347045867,New Hampshire
3996,6382,M,2001,224.48958333333334,13037.421320822752,7.199227986287466,New Hampshire
3997,6382,M,2002,191.10833333333332,13037.421320822752,-26.182022013712533,New Hampshire
3998,6382,M,2003,201.54285714285714,13037.421320822752,-15.74749820418871,New Hampshire
3999,6382,M,2004,213.44375,13037.421320822752,-3.846605347045867,New Hampshire
