,year,gender,lat,lon,event,region,state,postal,freq,event_name
59,2008,M,47.6062095,-122.3320708,11074,West,Washington,WA,1367,Seattle
60,2009,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,20,Walter Childs Memorial Race Of Champions
61,2009,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,268,Buffalo
62,2009,F,47.6062095,-122.3320708,11074,West,Washington,WA,785,Seattle
63,2009,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,60,Walter Childs Memorial Race Of Champions
64,2009,M,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,472,Buffalo
65,2009,M,47.6062095,-122.3320708,11074,West,Washington,WA,1417,Seattle
66,2010,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,21,Walter Childs Memorial Race Of Champions
67,2010,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,324,Buffalo
68,2010,F,47.6062095,-122.3320708,11074,West,Washington,WA,845,Seattle
69,2010,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,58,Walter Childs Memorial Race Of Champions
70,2010,M,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,556,Buffalo
71,2010,M,47.6062095,-122.3320708,11074,West,Washington,WA,1459,Seattle
72,2011,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,16,Walter Childs Memorial Race Of Champions
73,2011,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,277,Buffalo
74,2011,F,47.6062095,-122.3320708,11074,West,Washington,WA,726,Seattle
75,2011,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,64,Walter Childs Memorial Race Of Champions
76,2011,M,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,570,Buffalo
77,2011,M,47.6062095,-122.3320708,11074,West,Washington,WA,1296,Seattle
78,2012,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,16,Walter Childs Memorial Race Of Champions
79,2012,F,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,228,Ann Arbor
80,2012,F,47.6062095,-122.3320708,11074,West,Washington,WA,753,Seattle
81,2012,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,55,Walter Childs Memorial Race Of Champions
82,2012,M,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,354,Ann Arbor
83,2012,M,47.6062095,-122.3320708,11074,West,Washington,WA,1390,Seattle
84,2013,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,14,Walter Childs Memorial Race Of Champions
85,2013,F,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,138,Ann Arbor
86,2013,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,503,Buffalo
87,2013,F,47.6062095,-122.3320708,11074,West,Washington,WA,741,Seattle
88,2013,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,50,Walter Childs Memorial Race Of Champions
89,2013,M,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,257,Ann Arbor
90,2013,M,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,693,Buffalo
91,2013,M,47.6062095,-122.3320708,11074,West,Washington,WA,1299,Seattle
92,2014,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,83,Walter Childs Memorial Race Of Champions
