prop_numerator,proportion,event,year,gender,bin_center,proportion_demeanor,proportion_demeaned,event_name
"[14595.0, 18045.0)",35.29871708595476,34956,1995,F,4.533333333333333,110.26988371381833,-74.97116662786357,Grandmas
"[14595.0, 18045.0)",80.67018801068076,34956,1997,F,4.533333333333333,110.26988371381833,-29.59969570313757,Grandmas
"[14595.0, 18045.0)",69.07051769043936,34956,1998,F,4.533333333333333,110.26988371381833,-41.19936602337897,Grandmas
"[14595.0, 18045.0)",66.71716941566847,34956,1999,F,4.533333333333333,110.26988371381833,-43.552714298149866,Grandmas
"[14595.0, 18045.0)",664.2486801367256,34956,2000,F,4.533333333333333,110.26988371381833,553.9787964229073,Grandmas
"[14595.0, 18045.0)",91.91036732507698,34956,2001,F,4.533333333333333,110.26988371381833,-18.359516388741355,Grandmas
"[14595.0, 18045.0)",76.71213823971009,34956,2002,F,4.533333333333333,110.26988371381833,-33.557745474108245,Grandmas
"[14595.0, 18045.0)",98.08292530117262,34956,2003,F,4.533333333333333,110.26988371381833,-12.186958412645708,Grandmas
"[14595.0, 18045.0)",128.36402070598072,34956,2004,F,4.533333333333333,110.26988371381833,18.09413699216239,Grandmas
"[14595.0, 18045.0)",77.99647403186165,34956,2005,F,4.533333333333333,110.26988371381833,-32.27340968195668,Grandmas
"[14595.0, 18045.0)",123.80784168124468,34956,2006,F,4.533333333333333,110.26988371381833,13.537957967426351,Grandmas
"[14595.0, 18045.0)",122.07799226423172,34956,2007,F,4.533333333333333,110.26988371381833,11.808108550413394,Grandmas
"[14595.0, 18045.0)",137.4865665296268,34956,2009,F,4.533333333333333,110.26988371381833,27.21668281580847,Grandmas
"[14595.0, 18045.0)",100.38669210787434,34956,2010,F,4.533333333333333,110.26988371381833,-9.883191605943992,Grandmas
"[14595.0, 18045.0)",65.42477009462075,34956,2011,F,4.533333333333333,110.26988371381833,-44.845113619197576,Grandmas
"[14595.0, 18045.0)",83.5080676448612,34956,2012,F,4.533333333333333,110.26988371381833,-26.76181606895713,Grandmas
"[14595.0, 18045.0)",65.90806259963391,34956,2013,F,4.533333333333333,110.26988371381833,-44.36182111418442,Grandmas
"[14595.0, 18045.0)",66.76138785547805,34956,2014,F,4.533333333333333,110.26988371381833,-43.50849585834028,Grandmas
"[14595.0, 18045.0)",64.92804984543635,34956,2015,F,4.533333333333333,110.26988371381833,-45.34183386838198,Grandmas
"[14595.0, 18045.0)",100.87259695928807,34956,2016,F,4.533333333333333,110.26988371381833,-9.397286754530256,Grandmas
"[14595.0, 18045.0)",78.98065847650355,34956,2017,F,4.533333333333333,110.26988371381833,-31.28922523731478,Grandmas
"[14595.0, 18045.0)",68.6046559010369,34956,2018,F,4.533333333333333,110.26988371381833,-41.665227812781424,Grandmas
"[14595.0, 18045.0)",68.38878551471485,34956,2019,F,4.533333333333333,110.26988371381833,-41.88109819910348,Grandmas
