event,gender,year,meantime,meantime_demeanor,meantime_demeaned,event_name
158854,M,2010,258.10769230769233,15551.042512162858,-1.0763495616886454,Hoover Dam
158854,M,2011,260.76145833333334,15551.042512162858,1.577416463952371,Hoover Dam
158854,M,2012,255.76722222222222,15551.042512162858,-3.416819647158748,Hoover Dam
158854,M,2013,265.9643939393939,15551.042512162858,6.780352070012971,Hoover Dam
158854,M,2014,251.9843137254902,15551.042512162858,-7.199728143890752,Hoover Dam
158854,M,2015,266.235,15551.042512162858,7.050958130619043,Hoover Dam
158854,M,2016,271.46666666666664,15551.042512162858,12.282624797285704,Hoover Dam
158854,M,2019,247.04629629629628,15551.042512162858,-12.137745573084674,Hoover Dam
173497,F,2006,254.2611111111111,16556.534668803415,-21.68113336894582,Teton Dam
173497,F,2007,281.87820512820514,16556.534668803415,5.935960648148224,Teton Dam
173497,F,2012,271.7,16556.534668803415,-4.242244480056919,Teton Dam
173497,F,2013,262.1722222222222,16556.534668803415,-13.770022257834686,Teton Dam
173497,F,2014,270.609375,16556.534668803415,-5.332869480056918,Teton Dam
173497,F,2015,275.86538461538464,16556.534668803415,-0.07685986467228455,Teton Dam
173497,F,2016,289.9217948717949,16556.534668803415,13.97955039173794,Teton Dam
173497,F,2017,278.54583333333335,16556.534668803415,2.6035888532764146,Teton Dam
173497,F,2018,268.7648148148148,16556.534668803415,-7.177429665242107,Teton Dam
173497,F,2019,305.7037037037037,16556.534668803415,29.761459223646792,Teton Dam
173497,M,2006,227.56666666666666,15294.224249960567,-27.337070832676122,Teton Dam
173497,M,2007,251.4974358974359,15294.224249960567,-3.406301601906883,Teton Dam
173497,M,2012,254.29210526315788,15294.224249960567,-0.6116322361848991,Teton Dam
173497,M,2013,267.0,15294.224249960567,12.096262500657213,Teton Dam
173497,M,2014,235.18846153846152,15294.224249960567,-19.715275960881264,Teton Dam
173497,M,2015,238.56818181818184,15294.224249960567,-16.335555681160955,Teton Dam
173497,M,2016,244.98452380952384,15294.224249960567,-9.919213689818966,Teton Dam
173497,M,2017,283.52333333333337,15294.224249960567,28.61959583399057,Teton Dam
173497,M,2018,264.35833333333335,15294.224249960567,9.454595833990545,Teton Dam
173497,M,2019,282.05833333333334,15294.224249960567,27.154595833990545,Teton Dam
180410,F,2003,288.58071428571424,17395.878258334145,-1.3505900198548262,Little Rock
180410,F,2004,291.21986301369867,17395.878258334145,1.2885587081295549,Little Rock
180410,F,2005,290.51944444444445,17395.878258334145,0.5881401388753754,Little Rock
180410,F,2006,285.00231481481484,17395.878258334145,-4.9289894907542475,Little Rock
